Month,Thrift,vintage clothing,Poshmark
2010-01,23,74,0
2010-02,24,73,0
2010-03,26,73,0
2010-04,24,65,0
2010-05,25,69,0
2010-06,24,67,0
2010-07,31,64,0
2010-08,31,66,0
2010-09,26,65,0
2010-10,34,72,0
2010-11,25,66,0
2010-12,28,66,0
2011-01,27,67,0
2011-02,26,68,0
2011-03,25,62,0
2011-04,28,60,0
2011-05,27,59,0
2011-06,27,66,0
2011-07,33,63,0
2011-08,32,69,0
2011-09,33,66,0
2011-10,40,74,0
2011-11,30,68,0
2011-12,35,67,0
2012-01,31,77,0
2012-02,35,77,0
2012-03,33,68,0
2012-04,32,67,0
2012-05,30,63,0
2012-06,35,62,1
2012-07,38,67,1
2012-08,38,63,1
2012-09,39,68,1
2012-10,45,69,1
2012-11,43,60,1
2012-12,50,58,1
2013-01,54,59,3
2013-02,86,61,5
2013-03,83,61,5
2013-04,69,54,6
2013-05,54,47,5
2013-06,48,49,4
2013-07,46,49,6
2013-08,45,52,6
2013-09,41,49,5
2013-10,45,50,6
2013-11,38,47,5
2013-12,39,44,5
2014-01,36,47,5
2014-02,36,46,5
2014-03,36,44,5
2014-04,35,38,6
2014-05,32,41,5
2014-06,34,40,5
2014-07,34,48,6
2014-08,37,42,6
2014-09,36,37,7
2014-10,40,38,8
2014-11,35,37,9
2014-12,36,37,8
2015-01,32,35,10
2015-02,34,38,11
2015-03,32,37,13
2015-04,34,37,13
2015-05,30,33,12
2015-06,32,32,13
2015-07,32,33,14
2015-08,36,36,15
2015-09,35,33,17
2015-10,44,36,21
2015-11,35,34,20
2015-12,34,32,19
2016-01,33,37,19
2016-02,33,36,19
2016-03,34,37,20
2016-04,34,39,20
2016-05,34,37,19
2016-06,37,36,19
2016-07,42,35,22
2016-08,38,38,25
2016-09,42,37,30
2016-10,48,42,29
2016-11,38,37,32
2016-12,38,36,30
2017-01,35,38,34
2017-02,41,39,32
2017-03,42,42,36
2017-04,47,44,37
2017-05,42,43,36
2017-06,43,40,35
2017-07,54,42,42
2017-08,54,44,45
2017-09,49,42,39
2017-10,57,47,47
2017-11,47,48,54
2017-12,44,41,49
2018-01,49,46,53
2018-02,47,44,53
2018-03,53,44,53
2018-04,51,40,56
2018-05,44,37,51
2018-06,50,35,51
2018-07,56,40,56
2018-08,59,48,63
2018-09,52,38,62
2018-10,61,44,65
2018-11,51,41,67
2018-12,48,39,67
2019-01,53,43,73
2019-02,53,41,75
2019-03,56,44,72
2019-04,51,38,67
2019-05,52,39,66
2019-06,57,40,70
2019-07,65,46,71
2019-08,67,48,79
2019-09,61,47,81
2019-10,68,45,87
2019-11,59,45,88
2019-12,57,42,84
2020-01,60,43,89
2020-02,64,45,88
2020-03,47,33,61
2020-04,34,42,66
2020-05,54,48,76
2020-06,68,45,71
2020-07,79,51,76
2020-08,79,49,70
2020-09,74,49,76
2020-10,72,47,73
2020-11,62,51,66
2020-12,59,49,69
2021-01,64,48,71
2021-02,62,43,64
2021-03,66,44,66
2021-04,66,43,67
2021-05,69,42,63
2021-06,68,41,62
2021-07,79,48,64
2021-08,74,46,63
2021-09,75,47,68
2021-10,82,46,76
2021-11,68,45,75
2021-12,68,39,75
2022-01,68,41,90
2022-02,69,42,84
2022-03,70,37,84
2022-04,69,38,88
2022-05,65,36,80
2022-06,71,36,76
2022-07,80,37,80
2022-08,81,38,88
2022-09,75,37,87
2022-10,77,39,87
2022-11,63,32,82
2022-12,66,34,84
2023-01,71,36,92
2023-02,71,35,86
2023-03,69,35,86
2023-04,71,36,85
2023-05,64,31,76
2023-06,71,32,76
2023-07,77,32,78
2023-08,75,37,78
2023-09,76,39,80
2023-10,71,36,83
2023-11,63,36,86
2023-12,67,35,85
2024-01,68,33,88
2024-02,69,32,84
2024-03,72,33,82
2024-04,69,32,86
2024-05,66,31,81
2024-06,69,30,81
2024-07,72,31,80
2024-08,77,35,89
2024-09,72,33,87
2024-10,74,36,89
2024-11,73,37,95
2024-12,78,37,100
2025-01,76,35,97
2025-02,75,35,90
2025-03,80,33,90
2025-04,74,30,87
2025-05,76,30,87
2025-06,78,27,84
2025-07,85,30,89
2025-08,89,35,90
2025-09,78,33,89
2025-10,88,33,96
2025-11,86,35,96
