Brand_Name,Material_Type,Carbon_Footprint_MT
Brand_1,Tencel,1.75
Brand_2,Vegan Leather,124.39
Brand_3,Vegan Leather,336.66
Brand_4,Bamboo Fabric,152.04
Brand_5,Bamboo Fabric,415.63
Brand_6,Recycled Polyester,447.65
Brand_7,Hemp,345.64
Brand_8,Tencel,336.7
Brand_9,Recycled Polyester,386.68
Brand_10,Bamboo Fabric,250.94
Brand_11,Organic Cotton,417.76
Brand_12,Hemp,122.81
Brand_13,Hemp,413.27
Brand_14,Tencel,164.83
Brand_15,Bamboo Fabric,215.43
Brand_16,Recycled Polyester,227.94
Brand_17,Bamboo Fabric,45.07
Brand_18,Recycled Polyester,335.15
Brand_19,Bamboo Fabric,173.93
Brand_20,Hemp,437.75
Brand_21,Vegan Leather,489.19
Brand_22,Vegan Leather,375.74
Brand_23,Organic Cotton,323.83
Brand_24,Recycled Polyester,240.91
Brand_25,Recycled Polyester,411.26
Brand_26,Organic Cotton,234.31
Brand_27,Vegan Leather,181.28
Brand_28,Organic Cotton,72.78
Brand_29,Tencel,60.14
Brand_30,Hemp,184.09
Brand_31,Hemp,189.84
Brand_32,Bamboo Fabric,157.86
Brand_33,Tencel,148.28
Brand_34,Vegan Leather,356.24
Brand_35,Recycled Polyester,292.76
Brand_36,Vegan Leather,485.95
Brand_37,Recycled Polyester,480.24
Brand_38,Recycled Polyester,255.32
Brand_39,Hemp,478.34
Brand_40,Organic Cotton,418.25
Brand_41,Tencel,124.81
Brand_42,Hemp,295.57
Brand_43,Tencel,455.62
Brand_44,Vegan Leather,434.37
Brand_45,Recycled Polyester,315.39
Brand_46,Tencel,202.43
Brand_47,Tencel,363.8
Brand_48,Organic Cotton,382.4
Brand_49,Hemp,288
Brand_50,Bamboo Fabric,38.25
Brand_51,Vegan Leather,19.12
Brand_52,Tencel,465.37
Brand_53,Hemp,30.6
Brand_54,Bamboo Fabric,368.14
Brand_55,Vegan Leather,58.32
Brand_56,Tencel,317.44
Brand_57,Tencel,63.21
Brand_58,Vegan Leather,83.24
Brand_59,Vegan Leather,168.32
Brand_60,Recycled Polyester,134.29
Brand_61,Bamboo Fabric,176.94
Brand_62,Recycled Polyester,459.57
Brand_63,Recycled Polyester,317.48
Brand_64,Recycled Polyester,118.12
Brand_65,Recycled Polyester,448.75
Brand_66,Bamboo Fabric,346.21
Brand_67,Bamboo Fabric,154.05
Brand_68,Hemp,221.83
Brand_69,Tencel,474.7
Brand_70,Vegan Leather,74.32
Brand_71,Tencel,394.67
Brand_72,Vegan Leather,121.11
Brand_73,Tencel,286.44
Brand_74,Tencel,51.55
Brand_75,Tencel,204.09
Brand_76,Recycled Polyester,169.63
Brand_77,Recycled Polyester,347.09
Brand_78,Vegan Leather,77.71
Brand_79,Organic Cotton,343.04
Brand_80,Vegan Leather,358.73
Brand_81,Recycled Polyester,218.1
Brand_82,Vegan Leather,331.04
Brand_83,Tencel,204.77
Brand_84,Organic Cotton,75.48
Brand_85,Recycled Polyester,44.34
Brand_86,Recycled Polyester,199.92
Brand_87,Vegan Leather,276.69
Brand_88,Vegan Leather,291.79
Brand_89,Vegan Leather,475.14
Brand_90,Vegan Leather,152.06
Brand_91,Tencel,264.41
Brand_92,Vegan Leather,364.82
Brand_93,Vegan Leather,384.95
Brand_94,Bamboo Fabric,53.16
Brand_95,Tencel,123.64
Brand_96,Vegan Leather,347.56
Brand_97,Recycled Polyester,479.65
Brand_98,Tencel,186.63
Brand_99,Organic Cotton,252.22
Brand_100,Recycled Polyester,481.39
Brand_101,Hemp,242.61
Brand_102,Recycled Polyester,427.13
Brand_103,Bamboo Fabric,47.65
Brand_104,Tencel,302.11
Brand_105,Hemp,360.09
Brand_106,Organic Cotton,20.73
Brand_107,Hemp,316.7
Brand_108,Vegan Leather,63.55
Brand_109,Vegan Leather,85
Brand_110,Vegan Leather,409.37
Brand_111,Tencel,18.34
Brand_112,Organic Cotton,218.65
Brand_113,Organic Cotton,471.17
Brand_114,Vegan Leather,323.13
Brand_115,Tencel,419.84
Brand_116,Vegan Leather,279.42
Brand_117,Bamboo Fabric,17.89
Brand_118,Organic Cotton,357.99
Brand_119,Hemp,178.13
Brand_120,Bamboo Fabric,149.42
Brand_121,Recycled Polyester,233.99
Brand_122,Hemp,359.68
Brand_123,Hemp,261.27
Brand_124,Organic Cotton,197.43
Brand_125,Bamboo Fabric,12.75
Brand_126,Tencel,291.47
Brand_127,Hemp,125.39
Brand_128,Vegan Leather,147.3
Brand_129,Tencel,441.4
Brand_130,Organic Cotton,437.36
Brand_131,Bamboo Fabric,394.71
Brand_132,Recycled Polyester,54.25
Brand_133,Hemp,499.82
Brand_134,Tencel,190.42
Brand_135,Hemp,499.89
Brand_136,Tencel,297.74
